Calibration_Linear,Calibration_ToF,Run1_Linear,Run1_ToF,Run2_Linear,Run2_ToF
,,561,103,591,97
,,564,103,591,99
,,563,97,591,99
,,568,103,591,98
,,568,102,591,98
,,565,103,591,95
,,567,96,591,99
,,566,97,591,99
,,565,101,591,100
,,565,92,591,99
,,565,94,591,97
,,566,106,591,101
,,565,102,591,98
,,567,100,591,96
,,563,102,591,97
,,562,103,591,99
,,564,102,591,98
,,563,100,591,98
,,564,98,591,98
,,561,100,590,97
,,569,106,590,100
,,565,107,590,99
,,564,107,590,98
,,566,102,589,98
,,562,101,589,99
,,563,95,590,97
,,563,96,590,102
,,565,98,591,101
,,568,99,591,96
,,567,102,591,98
,,567,105,591,96
,,567,104,591,98
,,565,101,590,97
,,565,102,590,98
,,563,100,590,98
,,566,102,590,99
,,566,96,590,100
,,565,94,590,112
,,570,107,590,98
,,566,99,590,97
,,566,94,590,102
,,563,96,589,98
,,564,96,589,100
,,563,98,588,95
,,562,106,588,103
,,566,96,588,101
,,564,91,588,95
,,550,103,588,103
,,553,104,589,101
,,553,101,589,102
,,552,102,588,100
,,560,98,588,101
,,557,102,588,104
,,561,101,588,108
,,556,101,587,107
,,559,103,587,101
,,559,99,587,97
,,558,103,588,99
,,558,108,588,111
,,557,105,588,101
,,555,98,588,108
,,557,98,589,109
,,556,100,589,107
,,555,96,588,109
,,555,98,588,100
,,549,99,588,96
,,546,100,588,101
,,549,100,589,105
,,548,97,589,98
,,549,100,588,96
,,547,103,588,98
,,549,102,588,99
,,550,93,588,96
,,549,87,588,99
,,552,94,588,93
,,551,89,588,93
,,552,96,588,105
,,553,103,588,106
,,552,96,588,104
,,554,97,588,100
,,555,98,588,108
,,554,99,588,105
,,554,99,589,101
,,553,103,589,94
,,553,103,589,95
,,554,99,587,100
,,554,99,588,102
,,555,106,587,103
,,554,105,586,106
,,555,98,587,104
,,556,103,587,100
,,555,101,587,101
,,553,100,588,106
,,553,97,588,101
,,557,99,587,99
,,558,103,588,102
,,558,97,588,107
,,558,101,588,107
,,558,94,588,109
,,557,93,588,108
,,557,104,588,98
,,552,101,588,100
,,552,99,588,102
,,551,101,588,102
,,552,98,587,105
,,552,103,587,103
,,551,100,588,100
,,552,99,587,106
,,551,98,587,109
,,552,100,589,109
,,550,105,588,103
,,551,102,588,100
,,551,93,589,101
,,551,94,589,99
,,551,97,589,100
,,554,94,590,99
,,554,99,589,105
,,554,102,588,105
,,551,102,591,102
,,553,97,590,112
,,551,95,590,102
,,552,100,591,102
,,545,102,590,103
,,546,104,590,103
,,548,101,590,105
,,549,95,589,96
,,549,103,589,108
,,547,98,589,101
,,549,96,588,105
,,547,99,588,112
,,548,102,588,102
,,549,98,587,104
,,552,95,588,102
,,552,105,587,98
,,552,100,588,101
,,550,94,589,103
,,550,100,587,106
,,557,101,588,102
,,555,105,587,101
,,558,101,587,107
,,561,96,587,113
,,565,101,588,100
,,567,105,587,102
,,567,104,588,98
,,563,100,588,107
,,563,95,588,110
,,556,105,588,99
,,556,104,588,101
,,553,102,587,102
,,548,102,588,104
,,550,94,587,104
,,549,97,589,106
,,549,107,588,99
,,549,103,586,101
,,548,99,588,101
,,548,107,587,102
,,547,101,586,105
,,548,98,587,102
,,550,99,587,104
,,549,98,586,112
,,549,103,587,107
,,549,104,587,95
,,547,102,587,101
,,548,97,588,103
,,548,99,586,103
,,548,100,586,100
,,549,97,588,98
,,548,100,586,105
,,546,98,587,105
,,547,97,587,108
,,547,103,587,108
,,548,101,587,100
,,550,95,586,100
,,552,100,586,103
,,551,100,587,102
,,551,98,586,101
,,556,95,587,108
,,558,95,585,99
,,559,101,584,100
,,568,103,585,112
,,573,97,582,99
,,570,95,584,94
,,574,91,582,105
,,578,94,582,102
,,577,97,583,104
,,579,97,582,106
,,580,93,582,100
,,580,97,585,100
,,577,98,582,101
,,577,94,582,100
,,577,97,583,100
,,573,97,582,100
,,571,94,583,107
,,570,98,585,103
,,565,99,583,101
,,564,104,586,102
,,557,96,584,109
,,546,93,585,111
,,547,97,584,95
,,552,102,585,103
,,559,95,582,105
,,563,93,584,97
,,565,97,581,95
,,565,96,582,94
,,569,95,581,101
,,568,93,581,100
,,569,99,582,103
,,569,98,582,112
,,569,97,582,105
,,569,100,582,100
,,568,97,583,106
,,569,96,581,103
,,569,99,582,102
,,569,107,583,103
,,569,104,582,100
,,568,102,583,97
,,568,106,584,98
,,568,105,580,98
,,568,99,580,97
