Time,Speed,Long,Lat,Accelx,Accely,Accelz
1:09:39,0.07,152.9654083,-27.22659874,0.08,-0.43,-10.09
1:09:40,0.09,152.9654083,-27.22660065,0.08,-0.29,-10.09
1:09:41,0.2,152.9654083,-27.22660065,0.08,-0.29,-10.09
1:09:42,0.11,152.9654083,-27.22659683,0.08,-0.29,-10.09
1:09:43,0.09,152.9654083,-27.22659874,-0.38,0.29,-9.66
1:09:44,0.19,152.9654083,-27.22659683,0.08,0,-10.09
1:09:45,0.3,152.9654083,-27.22659683,0.08,-0.29,-10.09
1:09:46,0.17,152.9654083,-27.22659683,0.08,-0.43,-10.09
1:09:47,0,152.9654083,-27.22659683,-0.08,-0.29,-10.09
1:09:48,0.07,152.9654083,-27.22659683,0.08,-0.29,-10.09
1:09:49,0.06,152.9654083,-27.22659683,0.08,-0.29,-10.09
1:09:50,0.15,152.9654083,-27.22659874,0.08,-0.43,-10.09
1:09:51,0.02,152.9654083,-27.22660065,0.08,-0.29,-10.23
